Category,Problem,Skin_or_Hair_Type,Symptoms,Ingredients,Preparation,Usage,Frequency,Precautions,text
Skincare,Sensitive Skin,Oily,Redness; Roughness,Multani Mitti; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms redness roughness ingredients multani mitti coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Dark Circles,Sensitive,Uneven Tone; Inflammation,Coconut Oil; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms uneven tone inflammation ingredients coconut oil egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Dry Skin,Normal,Dry Texture; Uneven Tone,Turmeric; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,symptoms dry texture uneven tone ingredients turmeric aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions discontinue irritation occurs
Skincare,Sun Tan,Normal,Redness; Excess Oil,Green Tea; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,symptoms redness excess oil ingredients green tea gram flour preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions consult dermatologist severe condition
Skincare,Dull Skin,Oily,Redness; Excess Oil,Onion Juice; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms redness excess oil ingredients onion juice olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Sensitive Skin,Combination,Itching; Flaky Skin,Onion Juice; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,symptoms itching flaky skin ingredients onion juice aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions avoid sun exposure application
Skincare,Pigmentation,All,Roughness; Redness,Onion Juice; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,symptoms roughness redness ingredients onion juice curd preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions patch test use
Skincare,Acne,Dry,Dull Appearance; Breakage,Multani Mitti; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,symptoms dull appearance breakage ingredients multani mitti honey preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions patch test use
Skincare,Wrinkles,Normal,Dull Appearance; Excess Oil,Fenugreek Seeds; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms dull appearance excess oil ingredients fenugreek seeds olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Sun Tan,Normal,Inflammation; Excess Oil,Aloe Vera; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,symptoms inflammation excess oil ingredients aloe vera egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions patch test use
Skincare,Open Pores,Combination,Dry Texture; Dull Appearance,Yogurt; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,symptoms dry texture dull appearance ingredients yogurt banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions avoid sun exposure application
Skincare,Open Pores,All,Redness; Roughness,Turmeric; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms redness roughness ingredients turmeric egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Sensitive Skin,All,Dry Texture; Breakage,Papaya; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Discontinue if irritation occurs,symptoms dry texture breakage ingredients papaya yogurt preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions discontinue irritation occurs
Skincare,Pigmentation,Oily,Redness; Itching,Onion Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms redness itching ingredients onion juice rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Wrinkles,Combination,Itching; Redness,Neem Powder; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,symptoms itching redness ingredients neem powder egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions patch test use
Skincare,Dull Skin,Combination,Roughness; Dark Spots,Banana; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do patch test before use,symptoms roughness dark spots ingredients banana neem powder preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions patch test use
Skincare,Dull Skin,Normal,Dark Spots; Uneven Tone,Onion Juice; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,symptoms dark spots uneven tone ingredients onion juice turmeric preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions apply open wounds
Skincare,Pigmentation,All,Excess Oil; Dull Appearance,Papaya; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Avoid sun exposure after application,symptoms excess oil dull appearance ingredients papaya multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions avoid sun exposure application
Skincare,Dark Circles,Oily,Inflammation; Dark Spots,Lemon Juice; Potato Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,symptoms inflammation dark spots ingredients lemon juice potato juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions consult dermatologist severe condition
Skincare,Sun Tan,Dry,Flaky Skin; Breakage,Fenugreek Seeds; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,symptoms flaky skin breakage ingredients fenugreek seeds neem powder preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions apply open wounds
Skincare,Dark Circles,Sensitive,Dry Texture; Breakage,Aloe Vera; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,symptoms dry texture breakage ingredients aloe vera turmeric preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions consult dermatologist severe condition
Skincare,Oily Skin,Dry,Excess Oil; Dull Appearance,Fenugreek Seeds; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,symptoms excess oil dull appearance ingredients fenugreek seeds gram flour preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions apply open wounds
Skincare,Blackheads,Oily,Inflammation; Roughness,Coconut Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,symptoms inflammation roughness ingredients coconut oil banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions avoid sun exposure application
Skincare,Dull Skin,Dry,Dark Spots; Redness,Egg Yolk; Yogurt,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Avoid sun exposure after application,symptoms dark spots redness ingredients egg yolk yogurt preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions avoid sun exposure application
Skincare,Sensitive Skin,All,Redness; Uneven Tone,Egg Yolk; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do not apply on open wounds,symptoms redness uneven tone ingredients egg yolk multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions apply open wounds
Skincare,Dull Skin,Sensitive,Inflammation; Roughness,Green Tea; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,symptoms inflammation roughness ingredients green tea rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions discontinue irritation occurs
Skincare,Rashes,Combination,Breakage; Roughness,Olive Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,symptoms breakage roughness ingredients olive oil fenugreek seeds preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions discontinue irritation occurs
Skincare,Dark Circles,Sensitive,Itching; Roughness,Papaya; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,symptoms itching roughness ingredients papaya rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions patch test use
Skincare,Open Pores,Oily,Roughness; Redness,Honey; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,symptoms roughness redness ingredients honey papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions consult dermatologist severe condition
Skincare,Open Pores,Sensitive,Redness; Breakage,Fenugreek Seeds; Gram Flour,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do patch test before use,symptoms redness breakage ingredients fenugreek seeds gram flour preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions patch test use
Skincare,Sun Tan,All,Dry Texture; Excess Oil,Neem Powder; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Avoid sun exposure after application,symptoms dry texture excess oil ingredients neem powder coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions avoid sun exposure application
Skincare,Dull Skin,Sensitive,Breakage; Redness,Fenugreek Seeds; Egg Yolk,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Discontinue if irritation occurs,symptoms breakage redness ingredients fenugreek seeds egg yolk preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions discontinue irritation occurs
Skincare,Dull Skin,Combination,Flaky Skin; Dry Texture,Banana; Coconut Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Discontinue if irritation occurs,symptoms flaky skin dry texture ingredients banana coconut oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions discontinue irritation occurs
Skincare,Pigmentation,Oily,Roughness; Breakage,Green Tea; Lemon Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms roughness breakage ingredients green tea lemon juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Wrinkles,Dry,Itching; Uneven Tone,Neem Powder; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,symptoms itching uneven tone ingredients neem powder multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions consult dermatologist severe condition
Skincare,Rashes,Normal,Dull Appearance; Flaky Skin,Honey; Curd,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms dull appearance flaky skin ingredients honey curd preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Dry Skin,Oily,Uneven Tone; Itching,Coconut Oil; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms uneven tone itching ingredients coconut oil honey preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Sun Tan,Oily,Dull Appearance; Flaky Skin,Castor Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Consult dermatologist if severe condition,symptoms dull appearance flaky skin ingredients castor oil fenugreek seeds preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions consult dermatologist severe condition
Skincare,Acne,Dry,Uneven Tone; Itching,Aloe Vera; Turmeric,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,2 times/week,Do patch test before use,symptoms uneven tone itching ingredients aloe vera turmeric preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 2 times week precautions patch test use
Skincare,Dull Skin,Normal,Flaky Skin; Redness,Honey; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,symptoms flaky skin redness ingredients honey green tea preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions apply open wounds
Skincare,Open Pores,Sensitive,Breakage; Redness,Coconut Oil; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Consult dermatologist if severe condition,symptoms breakage redness ingredients coconut oil neem powder preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions consult dermatologist severe condition
Skincare,Dry Skin,Dry,Itching; Breakage,Lemon Juice; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,symptoms itching breakage ingredients lemon juice fenugreek seeds preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions apply open wounds
Skincare,Blackheads,Sensitive,Dark Spots; Itching,Coconut Oil; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,symptoms dark spots itching ingredients coconut oil onion juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions avoid sun exposure application
Skincare,Dark Circles,Oily,Dry Texture; Flaky Skin,Coconut Oil; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do not apply on open wounds,symptoms dry texture flaky skin ingredients coconut oil aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions apply open wounds
Skincare,Rashes,Sensitive,Roughness; Dark Spots,Neem Powder; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms roughness dark spots ingredients neem powder papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Whiteheads,Sensitive,Redness; Uneven Tone,Potato Juice; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,symptoms redness uneven tone ingredients potato juice rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions apply open wounds
Skincare,Sensitive Skin,Oily,Excess Oil; Dry Texture,Curd; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,symptoms excess oil dry texture ingredients curd fenugreek seeds preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions apply open wounds
Skincare,Dull Skin,All,Itching; Breakage,Yogurt; Olive Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do patch test before use,symptoms itching breakage ingredients yogurt olive oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions patch test use
Skincare,Blackheads,Dry,Breakage; Redness,Onion Juice; Neem Powder,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms breakage redness ingredients onion juice neem powder preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Dark Circles,Normal,Dark Spots; Dull Appearance,Coconut Oil; Fenugreek Seeds,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Do patch test before use,symptoms dark spots dull appearance ingredients coconut oil fenugreek seeds preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions patch test use
Skincare,Pigmentation,Normal,Uneven Tone; Dull Appearance,Multani Mitti; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,symptoms uneven tone dull appearance ingredients multani mitti papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions apply open wounds
Skincare,Acne,Dry,Dry Texture; Excess Oil,Multani Mitti; Castor Oil,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms dry texture excess oil ingredients multani mitti castor oil preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Oily Skin,Sensitive,Breakage; Flaky Skin,Castor Oil; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Do not apply on open wounds,symptoms breakage flaky skin ingredients castor oil onion juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions apply open wounds
Skincare,Dull Skin,Oily,Itching; Dry Texture,Banana; Papaya,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Avoid sun exposure after application,symptoms itching dry texture ingredients banana papaya preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions avoid sun exposure application
Skincare,Pigmentation,Dry,Itching; Uneven Tone,Olive Oil; Banana,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,3 times/week,Consult dermatologist if severe condition,symptoms itching uneven tone ingredients olive oil banana preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency 3 times week precautions consult dermatologist severe condition
Skincare,Blackheads,Combination,Breakage; Dry Texture,Coconut Oil; Rose Water,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Discontinue if irritation occurs,symptoms breakage dry texture ingredients coconut oil rose water preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions discontinue irritation occurs
Skincare,Rashes,All,Excess Oil; Roughness,Fenugreek Seeds; Multani Mitti,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Weekly,Consult dermatologist if severe condition,symptoms excess oil roughness ingredients fenugreek seeds multani mitti preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency weekly precautions consult dermatologist severe condition
Skincare,Open Pores,Sensitive,Dry Texture; Roughness,Neem Powder; Green Tea,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Avoid sun exposure after application,symptoms dry texture roughness ingredients neem powder green tea preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions avoid sun exposure application
Skincare,Rashes,Sensitive,Excess Oil; Dull Appearance,Lemon Juice; Honey,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Alternate days,Do not apply on open wounds,symptoms excess oil dull appearance ingredients lemon juice honey preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency alternate days precautions apply open wounds
Skincare,Wrinkles,Oily,Redness; Breakage,Papaya; Aloe Vera,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Consult dermatologist if severe condition,symptoms redness breakage ingredients papaya aloe vera preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions consult dermatologist severe condition
Skincare,Oily Skin,Dry,Roughness; Uneven Tone,Fenugreek Seeds; Onion Juice,Mix ingredients into a smooth paste,Apply gently on affected area and leave for 20-30 minutes,Daily,Do not apply on open wounds,symptoms roughness uneven tone ingredients fenugreek seeds onion juice preparation mix ingredients smooth paste usage apply gently affected area leave 20 30 minutes frequency daily precautions apply open wounds
